release_year,avg_critic,avg_fan,game_count
1996,88.7,84.3,3
1997,89.0,86.2,5
1998,85.3,86.0,4
1999,81.5,80.3,4
2000,82.6,81.6,11
2001,84.9,84.1,14
2002,82.3,84.4,15
2003,81.3,83.9,25
2004,76.1,81.1,33
2005,75.9,79.3,38
2006,74.6,77.7,35
2007,74.8,75.9,29
2008,73.5,78.4,23
2009,76.5,78.3,36
2010,75.9,78.4,35
2011,73.8,75.3,33
2012,72.9,75.0,34
2013,74.0,75.7,34
2014,76.2,79.2,34
2015,70.5,72.2,33
2016,77.0,73.9,34
2017,76.4,76.1,42
2018,75.9,74.8,34
2019,77.7,71.2,30
2020,75.4,71.9,21
2021,75.1,72.4,19
2022,78.3,67.8,15
2023,81.0,80.8,14
